,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
63,mid,ssd,medium,bloscpack,1,0.3463452657063802,0.04115009307861328,0.21884497006734213,0.8796558375
64,mid,ssd,medium,bloscpack,3,0.33759744962056476,0.041414340337117515,0.21948766708374023,0.8794990375
65,mid,ssd,medium,bloscpack,7,0.3063039779663086,0.10292339324951172,0.19675199190775552,0.4335094375
66,mid,ssd,medium,bloscpack,9,0.32031957308451336,0.11373766263326009,0.1899733543395996,0.3885872875
67,mid,ssd,medium,npz,1,1.2331799666086833,0.3281056880950928,0.3512756824493408,0.14997885
68,mid,ssd,medium,npy,0,0.34181396166483563,0.029598315556844074,0.21410369873046875,1.000001
69,mid,ssd,medium,zfile,1,0.936103105545044,0.3051269054412842,0.35962796211242676,0.268196775
70,mid,ssd,medium,zfile,3,0.9645130634307861,0.3029191493988037,0.359158992767334,0.2637380875
71,mid,ssd,medium,zfile,7,1.126924991607666,0.23983001708984375,0.28175806999206543,0.1498448375
72,mid,ssd,high,bloscpack,1,0.38001465797424316,0.037096261978149414,0.24910171826680502,1.000025375
73,mid,ssd,high,bloscpack,3,0.40274524688720703,0.037760655085245766,0.24582695960998535,1.000025375
74,mid,ssd,high,bloscpack,7,0.4931999047597249,0.06555501619974773,0.27236167589823407,0.9658534
75,mid,ssd,high,bloscpack,9,0.5336600144704183,0.06930828094482422,0.27413733800252277,0.96567595
76,mid,ssd,high,npz,1,3.8289310932159424,0.6108386516571045,0.7971007029215494,0.9606706375
77,mid,ssd,high,npy,0,0.32141391436258954,0.030095497767130535,0.20298433303833008,1.000001
78,mid,ssd,high,zfile,1,3.4518961906433105,0.5441348552703857,0.7255439758300781,0.9643203
79,mid,ssd,high,zfile,3,3.539400815963745,0.5443911552429199,0.7190477848052979,0.9642280375
80,mid,ssd,high,zfile,7,3.6298720836639404,0.5424420833587646,0.7207260131835938,0.9606951125
81,mid,sd,low,bloscpack,1,0.7208747069040934,0.029121955235799152,0.524298350016276,0.12682075
82,mid,sd,low,bloscpack,3,0.6544126669565836,0.028891722361246746,0.47143904368082684,0.1140974125
83,mid,sd,low,bloscpack,7,0.1338347593943278,0.029297590255737305,0.05462233225504557,0.0118825625
84,mid,sd,low,bloscpack,9,0.0965572992960612,0.02955794334411621,0.04112990697224935,0.0083735375
85,mid,sd,low,npz,1,6.344573418299357,0.3457043170928955,0.9535683790842692,0.1495014125
86,mid,sd,low,npy,0,5.310727834701538,0.030568281809488933,4.09975004196167,1.000001
87,mid,sd,low,zfile,1,1.9763209819793701,0.26289796829223633,0.8782172203063965,0.1490548
88,mid,sd,low,zfile,3,2.147063970565796,0.2610440254211426,0.8758070468902588,0.1490792
89,mid,sd,low,zfile,7,9.626133918762207,0.26804089546203613,0.8748600482940674,0.1494205
90,mid,sd,medium,bloscpack,1,4.718063672383626,0.039690256118774414,3.604366143544515,0.8796468875
91,mid,sd,medium,bloscpack,3,4.736512343088786,0.04047433535257975,3.6091607411702475,0.8795029375
92,mid,sd,medium,bloscpack,7,2.487775961558024,0.10292601585388184,1.7822916507720947,0.4335411375
93,mid,sd,medium,bloscpack,9,2.2776881059010825,0.11493706703186035,1.5965345700581868,0.3886890375
94,mid,sd,medium,npz,1,2.0334840615590415,0.3160401185353597,0.937394936879476,0.1499195
