,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
62,mid,ssd,low,zfile,7,8.876964807510376,0.2664790153503418,0.3047919273376465,0.1494205
63,mid,ssd,medium,bloscpack,1,0.3485093911488851,0.0405272642771403,0.219040314356486,0.87964095
64,mid,ssd,medium,bloscpack,3,0.3498090108235677,0.04189006487528483,0.2227142651875814,0.87950225
65,mid,ssd,medium,bloscpack,7,0.3122069040934245,0.10468729337056477,0.19473695755004883,0.4334943125
66,mid,ssd,medium,bloscpack,9,0.31035757064819336,0.113983949025472,0.1911620299021403,0.3886707125
67,mid,ssd,medium,npz,1,1.2527846495310466,0.3226586977640788,0.35254939397176105,0.1498126125
68,mid,ssd,medium,npy,0,0.33324766159057617,0.03192901611328125,0.2139136791229248,1.000001
69,mid,ssd,medium,zfile,1,0.9640610218048096,0.30866098403930664,0.3693249225616455,0.2681589625
70,mid,ssd,medium,zfile,3,0.989311933517456,0.3092489242553711,0.36635804176330566,0.26368265
71,mid,ssd,medium,zfile,7,1.1893188953399658,0.24924015998840332,0.2801330089569092,0.149945325
72,mid,ssd,high,bloscpack,1,0.38054990768432617,0.03679434458414713,0.24884231885274252,1.000025375
73,mid,ssd,high,bloscpack,3,0.4039630889892578,0.03760528564453125,0.24994301795959473,1.000025375
74,mid,ssd,high,bloscpack,7,0.502859354019165,0.06898760795593262,0.27128998438517254,0.9658401875
75,mid,ssd,high,bloscpack,9,0.5447826385498047,0.07246971130371094,0.2760756015777588,0.965665525
76,mid,ssd,high,npz,1,3.9459033012390137,0.6290539105733236,0.7932470639546713,0.9606677625
77,mid,ssd,high,npy,0,0.3302303949991862,0.03258705139160156,0.20245798428853354,1.000001
78,mid,ssd,high,zfile,1,3.472590923309326,0.5587100982666016,0.7303628921508789,0.96429855
79,mid,ssd,high,zfile,3,3.570446014404297,0.5549821853637695,0.7323391437530518,0.9642345375
80,mid,ssd,high,zfile,7,3.7419979572296143,0.5453438758850098,0.7133579254150391,0.960672575
81,mid,sd,low,bloscpack,1,0.7807443936665853,0.02919602394104004,0.5249242782592773,0.12682075
82,mid,sd,low,bloscpack,3,0.7226013342539469,0.030192057291666668,0.4720463752746582,0.1140974125
83,mid,sd,low,bloscpack,7,0.2284554640452067,0.029913663864135742,0.05408596992492676,0.0118825625
84,mid,sd,low,bloscpack,9,0.26179059346516925,0.03037238121032715,0.04029099146525065,0.0083735375
85,mid,sd,low,npz,1,6.5111002922058105,0.33873963356018066,0.9591182867685953,0.1495014125
86,mid,sd,low,npy,0,5.301194032033284,0.03277667363484701,4.084758996963501,1.000001
87,mid,sd,low,zfile,1,2.0066909790039062,0.26448678970336914,0.8793480396270752,0.1490548
88,mid,sd,low,zfile,3,2.1466100215911865,0.27171993255615234,0.879310131072998,0.1490792
89,mid,sd,low,zfile,7,9.662415981292725,0.2712211608886719,0.8811230659484863,0.1494205
90,mid,sd,medium,bloscpack,1,4.704632679621379,0.040143728256225586,3.5929501056671143,0.87964875
91,mid,sd,medium,bloscpack,3,4.768861452738444,0.041585683822631836,3.595451275507609,0.8795056125
92,mid,sd,medium,bloscpack,7,2.4772349993387857,0.10884539286295573,1.7748126983642578,0.4335793125
93,mid,sd,medium,bloscpack,9,2.265993595123291,0.11405324935913086,1.5901257197062175,0.3886145125
94,mid,sd,medium,npz,1,2.0408007303873696,0.3284863630930583,0.9353273709615072,0.1498627125
95,mid,sd,medium,npy,0,5.299460411071777,0.031984408696492515,4.086413701375325,1.000001
96,mid,sd,medium,zfile,1,2.4795498847961426,0.3075239658355713,1.405885934829712,0.2682215125
97,mid,sd,medium,zfile,3,2.492457866668701,0.30738091468811035,1.3873419761657715,0.2636826625
98,mid,sd,medium,zfile,7,1.9524269104003906,0.25083303451538086,0.8590950965881348,0.1498304375
99,mid,sd,high,bloscpack,1,5.354697783788045,0.0378116766611735,4.086236556371053,1.000025375
100,mid,sd,high,bloscpack,3,5.36918838818868,0.03777003288269043,4.084965705871582,1.000025375
101,mid,sd,high,bloscpack,7,5.318982362747192,0.06774433453877766,3.947303215662638,0.9658819875
102,mid,sd,high,bloscpack,9,5.325181722640991,0.07115236918131511,3.94650936126709,0.9656489625
103,mid,sd,high,npz,1,8.696485678354898,0.6326632499694824,4.527206023534139,0.9606665125
