,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
116,large,ssd,low,zfile,7,193.65921688079834,5.103669166564941,5.663380146026611,0.15955269
117,large,ssd,medium,bloscpack,1,7.326090097427368,0.7668471336364746,4.356522083282471,0.87962061
118,large,ssd,medium,bloscpack,3,7.820587873458862,0.7896599769592285,4.335431814193726,0.879472780625
119,large,ssd,medium,bloscpack,7,6.407901048660278,2.0590760707855225,3.805535078048706,0.4334392825
120,large,ssd,medium,bloscpack,9,6.375838994979858,2.2159759998321533,3.72414493560791,0.38856078125
121,large,ssd,medium,npz,1,29.152271032333374,6.724583148956299,7.035327196121216,0.14974209125
122,large,ssd,medium,npy,0,7.56287693977356,0.5448241233825684,4.233288049697876,1.00000005
123,large,ssd,medium,zfile,1,18.80778408050537,6.119204044342041,7.105797052383423,0.26810909375
124,large,ssd,medium,zfile,3,19.420867919921875,6.096853017807007,7.065666198730469,0.26360713125
125,large,ssd,medium,zfile,7,22.53125,4.915666103363037,5.360827922821045,0.149748946875
126,large,ssd,high,bloscpack,1,8.506028890609741,0.6952860355377197,4.88663387298584,1.000015765
127,large,ssd,high,bloscpack,3,8.959702014923096,0.7027559280395508,4.8723039627075195,1.000015765
128,large,ssd,high,bloscpack,7,11.03573203086853,1.3338019847869873,5.353579044342041,0.965824429375
129,large,ssd,high,bloscpack,9,11.27538013458252,1.4069809913635254,5.428823947906494,0.965645184375
130,large,ssd,high,npz,1,80.71296906471252,12.84255313873291,16.16729998588562,0.96066897625
131,large,ssd,high,npy,0,7.365138053894043,0.5451400279998779,4.262832164764404,1.00000005
132,large,ssd,high,zfile,1,69.28233313560486,10.857617855072021,14.423344850540161,0.96431590875
133,large,ssd,high,zfile,3,72.2392749786377,10.948690176010132,14.521939039230347,0.964231731875
134,large,ssd,high,zfile,7,74.41312384605408,10.718699932098389,14.266332864761353,0.960668444375
135,large,sd,low,bloscpack,1,6.809897184371948,0.4869568347930908,5.029256820678711,0.060875708125
136,large,sd,low,bloscpack,3,4.877864122390747,0.4847579002380371,3.53098201751709,0.042616500625
137,large,sd,low,bloscpack,7,1.754180908203125,0.4933350086212158,1.1152939796447754,0.012993349375
138,large,sd,low,bloscpack,9,1.3740689754486084,0.4961419105529785,0.8125960826873779,0.009234625
139,large,sd,low,npz,1,135.01659393310547,7.01303505897522,19.723378896713257,0.159559411875
140,large,sd,low,npy,0,106.63195085525513,0.5491049289703369,82.14989614486694,1.00000005
141,large,sd,low,zfile,1,34.83740305900574,5.10274600982666,18.03836989402771,0.159273688125
142,large,sd,low,zfile,3,47.25975489616394,5.179868936538696,18.152318954467773,0.15926239375
143,large,sd,low,zfile,7,209.68441605567932,5.1130430698394775,18.0561740398407,0.15955269
144,large,sd,medium,bloscpack,1,94.40734195709229,0.7683219909667969,72.3151547908783,0.879622253125
145,large,sd,medium,bloscpack,3,94.83989691734314,0.7684040069580078,72.29821515083313,0.8794722275
